scientificname,identifiedby_att,correto?,nome_real
Peperomia simulans,T. G. Yuncker,0,Peperomia
Piper anisum,"Callejas, R",1,Piper anisum
Piper anisum,"Callejas, R",1,Piper anisum
Piper arboreum,"Carvalho-Silva, M",1,Piper arboreum
Piper corcovadense,"Callejas, R",0,Piper corcovadensis
Peperomia blanda,"Guimarães, EF",1,Peperomia blanda
Peperomia blanda,"Guimarães, EF",1,Peperomia blanda
Peperomia circinnata,"Guimarães, EF",1,Peperomia circinnata
Peperomia magnoliidolia,D. Monteiro,0,Peperomia magnoliifolia
Peperomia magnoliifolia,D. Monteiro,1,Peperomia magnoliifolia
Peperomia magnoliifolia,"Guimarães, EF",1,Peperomia magnoliifolia
Peperomia magnoliifolia,D. Monteiro,1,Peperomia magnoliifolia
Peperomia magnoliifolia,"Guimarães, EF",1,Peperomia magnoliifolia
Peperomia pellucida,"Guimarães, EF",1,Peperomia pellucida
Peperomia pellucida,"Guimarães, EF",1,Peperomia pellucida
Peperomia rotundifolia,"Guimarães, EF",1,Peperomia rotundifolia
Peperomia rotundifolia,D. Monteiro,1,Peperomia rotundifolia
Piper aduncum,"Guimarães, EF",1,Piper aduncum
Piper aduncum,"Guimarães, EF",1,Piper aduncum
Piper amalago,D. Monteiro,1,Piper amalago
Piper amalago,"Guimarães, EF",1,Piper amalago
Piper amalago,"Guimarães, EF",1,Piper amalago
Piper amplum,"Guimarães, EF",1,Piper amplum
Piper anisum,D. Monteiro,1,Piper anisum
Piper anisum,D. Monteiro,1,Piper anisum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper caldense,"Guimarães, EF",1,Piper caldense
Piper caldense,"Guimarães, EF",1,Piper caldense
Piper caldense,"Guimarães, EF",1,Piper caldense
Piper caldense,"Guimarães, EF",1,Piper caldense
Piper divaricatum,D. Monteiro,1,Piper divaricatum
Piper divaricatum,D. Monteiro,1,Piper divaricatum
Piper divaricatum,"Guimarães, EF",1,Piper divaricatum
Piper divaricatum,"Guimarães, EF",1,Piper divaricatum
Piper divaricatum,"Guimarães, EF",1,Piper divaricatum
Piper divaricatum,"Guimarães, EF",1,Piper divaricatum
Piper ilheusense,"Guimarães, EF",0,Piper
Piper limai,D. Monteiro,0,Piper
Piper limai,D. Monteiro,0,Piper
Piper limai,D. Monteiro,0,Piper
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper mollicomum,"Guimarães, EF",1,Piper mollicomum
Piper tuberculatum,"Guimarães, EF",1,Piper tuberculatum
Piper umbellatum,"Guimarães, EF",1,Piper umbellatum
Piper umbellatum,"Guimarães, EF",1,Piper umbellatum
Piper vicosanum,"Guimarães, EF",1,Piper vicosanum
Piper vicosanum,"Guimarães, EF",1,Piper vicosanum
Piper vicosanum,"Guimarães, EF",1,Piper vicosanum
Piper vicosanum,"Guimarães, EF",1,Piper vicosanum
Peperomia blanda,D. Monteiro,1,Peperomia blanda
Peperomia magnoliifolia,"Guimarães, EF",1,Peperomia magnoliifolia
Peperomia magnoliifolia,"Guimarães, EF",1,Peperomia magnoliifolia
Peperomia magnoliifolia,"Guimarães, EF",1,Peperomia magnoliifolia
Peperomia magnoliifolia,D. Monteiro,1,Peperomia magnoliifolia
Peperomia pellucida,"Guimarães, EF",1,Peperomia pellucida
Peperomia pellucida,"Guimarães, EF",1,Peperomia pellucida
Peperomia pellucida,"Guimarães, EF",1,Peperomia pellucida
Peperomia pellucida,"Guimarães, EF",1,Peperomia pellucida
Peperomia tetraphylla,"Guimarães, EF",1,Peperomia tetraphylla
Peperomia tetraphylla,"Carvalho-Silva, M",1,Peperomia tetraphylla
Peperomia urocarpa,"Guimarães, EF",1,Peperomia urocarpa
Piper aduncum,"Guimarães, EF",1,Piper aduncum
Piper aduncum,"Guimarães, EF",1,Piper aduncum
Piper aduncum,"Guimarães, EF",1,Piper aduncum
Piper aduncum,"Guimarães, EF",1,Piper aduncum
Piper amalago,"Guimarães, EF",1,Piper amalago
Piper amalago,"Guimarães, EF",1,Piper amalago
Piper amalago,"Guimarães, EF",1,Piper amalago
Piper anisum,D. Monteiro,1,Piper anisum
Piper anisum,D. Monteiro,1,Piper anisum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper arboreum,"Guimarães, EF",1,Piper arboreum
Piper caldense,D. Monteiro,1,Piper caldense
Piper caldense,"Guimarães, EF",1,Piper caldense
Piper caldense,"Guimarães, EF",1,Piper caldense
Piper divaricatum,"Guimarães, EF",1,Piper divaricatum
Piper divaricatum,"Guimarães, EF",1,Piper divaricatum
Piper divaricatum,"Guimarães, EF",1,Piper divaricatum
Piper gaudichaudianum,D. Monteiro,1,Piper gaudichaudianum
Piper hispidum,"Guimarães, EF",1,Piper hispidum
Piper hispidum,"Guimarães, EF",1,Piper hispidum
Piper hispidum,"Guimarães, EF",1,Piper hispidum
Piper hispidum,"Guimarães, EF",1,Piper hispidum
Piper hoffmannseggianum,D. Monteiro,1,Piper hoffmannseggianum
Piper malacophyllum,D. Monteiro,1,Piper malacophyllum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
Piper marginatum,"Guimarães, EF",1,Piper marginatum
