identifiedby_att,correto?,probabilidade_corretude,nome_real,scientificname
R. Callejas Posada,1,0.34733634486387627,Peperomia macrostachya,Peperomia macrostachya
"Callejas, R",0,0.3774320048619951,Piper,Piper curtistilum
"Guimarães, EF",1,0.5517673859512532,Peperomia elongata,Peperomia elongata
"Callejas, R",0,0.3774320048619951,Piper,Piper asterotrichum
"Guimarães, EF",0,0.5517673859512532,Piper,Piper goesii
"Guimarães, EF",0,0.5517673859512532,Piper amalago,Piper amalago medium
"Carvalho-Silva, M",1,0.666115846748424,Peperomia nitida,Peperomia nitida
T. G. Yuncker,1,0.35511217658388483,Peperomia galioides,Peperomia galioides
"Guimarães, EF",1,0.5517673859512532,Peperomia alata,Peperomia alata
"Machado-Silva, T.",1,0.9177790424296651,Peperomia delicatula,Peperomia delicatula
R. Callejas Posada,0,0.34733634486387627,Piper arboreum,Piper arboreum latifolium
George Azevedo de Queiroz,1,0.45585887617132365,Piper cernuum,Piper cernuum
"Guimarães, EF",1,0.5517673859512532,Piper marginatum,Piper marginatum
"Carvalho-Silva, M",1,0.666115846748424,Piper arboreum,Piper arboreum
"Carvalho-Silva, M",1,0.666115846748424,Peperomia galioides,Peperomia galioides
"Guimarães, EF",1,0.5517673859512532,Piper macedoi,Piper macedoi
"Guimarães, EF",1,0.5517673859512532,Piper solmsianum,Piper solmsianum
M. Carvalho-Silva,1,0.6422100011643508,Peperomia blanda,Peperomia blanda
M. Carvalho-Silva,1,0.6422100011643508,Piper regnellii,Piper regnellii
"Callejas, R",1,0.3774320048619951,Peperomia glabella,Peperomia glabella
R. Callejas Posada,0,0.34733634486387627,Piper,Piper substilosum
"Guimarães, EF",1,0.5517673859512532,Piper amalago,Piper amalago
"Carvalho-Silva, M",1,0.666115846748424,Peperomia tetraphylla,Peperomia tetraphylla
D. Monteiro,0,0.6375868427624473,Piper,Piper chimonanthifolium
R. Callejas Posada,0,0.34733634486387627,Piper,Piper gigantifolium
"Machado-Silva, T.",1,0.9177790424296651,Peperomia blanda,Peperomia blanda
M. Carvalho-Silva,1,0.6422100011643508,Peperomia corcovadensis,Peperomia corcovadensis
"Callejas, R",0,0.3774320048619951,Piper,Piper pilirameum
"Guimarães, EF",1,0.5517673859512532,Piper anisum,Piper anisum
M. Carvalho-Silva,1,0.6422100011643508,Piper aduncum,Piper aduncum
"Guimarães, EF",1,0.5517673859512532,Peperomia urocarpa,Peperomia urocarpa
"Callejas, R",1,0.3774320048619951,Piper aduncum,Piper aduncum
R. Callejas Posada,1,0.34733634486387627,Piper mollicomum,Piper mollicomum
T. G. Yuncker,1,0.35511217658388483,Piper lhotzkyanum,Piper lhotzkyanum
"Guimarães, EF",1,0.5517673859512532,Piper miquelianum,Piper miquelianum
"Carvalho-Silva, M",1,0.666115846748424,Peperomia tetraphylla,Peperomia tetraphylla
D. Monteiro,1,0.6375868427624473,Piper tectoniifolium,Piper tectoniifolium
M. Carvalho-Silva,1,0.6422100011643508,Peperomia martiana,Peperomia martiana
"Guimarães, EF",0,0.5517673859512532,Piper,Piper hayneanum
"Guimarães, EF",1,0.5517673859512532,Piper aduncum,Piper aduncum
"Callejas, R",1,0.3774320048619951,Peperomia glabella,Peperomia glabella
"Callejas, R",1,0.3774320048619951,Peperomia nitida,Peperomia nitida
"Marcusso, GM",0,0.49601208795674395,Piper arboreum,Piper arboreum hirtellum
M. Carvalho-Silva,1,0.6422100011643508,Piper lhotzkyanum,Piper lhotzkyanum
"Guimarães, EF",1,0.5517673859512532,Peperomia circinnata,Peperomia circinnata
R. Callejas Posada,0,0.34733634486387627,Piper corcovadensis,Piper corcovadensis blanchetii
"Carvalho-Silva, M",1,0.666115846748424,Piper hispidum,Piper hispidum
"Guimarães, EF",0,0.5517673859512532,Piper arboreum,Piper arboreum arboreum
T. G. Yuncker,1,0.35511217658388483,Piper mollicomum,Piper mollicomum
M. Carvalho-Silva,1,0.6422100011643508,Peperomia obtusifolia,Peperomia obtusifolia
M. Carvalho-Silva,1,0.6422100011643508,Peperomia urocarpa,Peperomia urocarpa
"Marcusso, GM",1,0.49601208795674395,Peperomia urocarpa,Peperomia urocarpa
George Azevedo de Queiroz,1,0.45585887617132365,Piper amalago,Piper amalago
"Guimarães, EF",1,0.5517673859512532,Peperomia rubricaulis,Peperomia rubricaulis
"Marcusso, GM",1,0.49601208795674395,Peperomia catharinae,Peperomia catharinae
"Guimarães, EF",1,0.5517673859512532,Piper amalago,Piper amalago
R. Callejas Posada,1,0.34733634486387627,Piper manausense,Piper manausense
"Guimarães, EF",1,0.5517673859512532,Piper gaudichaudianum,Piper gaudichaudianum
R. Callejas Posada,0,0.34733634486387627,Piper,Piper capitarianum
T. G. Yuncker,1,0.35511217658388483,Piper xylosteoides,Piper xylosteoides
T. G. Yuncker,1,0.35511217658388483,Peperomia glabella,Peperomia glabella
"Callejas, R",1,0.3774320048619951,Piper arboreum,Piper arboreum
D. Monteiro,1,0.6375868427624473,Peperomia urocarpa,Peperomia urocarpa
"Carvalho-Silva, M",1,0.666115846748424,Piper mollicomum,Piper mollicomum
"Guimarães, EF",1,0.5517673859512532,Piper divaricatum,Piper divaricatum
R. Callejas Posada,0,0.34733634486387627,Peperomia,Peperomia cardenasii
"Guimarães, EF",1,0.5517673859512532,Piper tectoniifolium,Piper tectoniifolium
"Guimarães, EF",1,0.5517673859512532,Piper fuligineum,Piper fuligineum
D. Monteiro,1,0.6375868427624473,Piper umbellatum,Piper umbellatum
R. Callejas Posada,0,0.34733634486387627,Piper arboreum,Piper arboreum latifolium
"Carvalho-Silva, M",1,0.666115846748424,Piper cernuum,Piper cernuum
"Guimarães, EF",1,0.5517673859512532,Peperomia rotundifolia,Peperomia rotundifolia
"Carvalho-Silva, M",1,0.666115846748424,Piper anisum,Piper anisum
"Carvalho-Silva, M",1,0.666115846748424,Peperomia oreophila,Peperomia oreophila
"Machado-Silva, T.",1,0.9177790424296651,Peperomia alata,Peperomia alata
"Guimarães, EF",0,0.5517673859512532,Piper arboreum,Piper arboreum arboreum
"Guimarães, EF",1,0.5517673859512532,Piper marginatum,Piper marginatum
George Azevedo de Queiroz,1,0.45585887617132365,Piper mollicomum,Piper mollicomum
R. Callejas Posada,1,0.34733634486387627,Piper aduncum,Piper aduncum
T. G. Yuncker,0,0.35511217658388483,Peperomia pereskiaefolia,Peperomia pereskiifolia
"Machado-Silva, T.",1,0.9177790424296651,Piper miquelianum,Piper miquelianum
"Guimarães, EF",1,0.5517673859512532,Piper corcovadensis,Piper corcovadensis
"Guimarães, EF",1,0.5517673859512532,Piper richardiifolium,Piper richardiifolium
"Guimarães, EF",1,0.5517673859512532,Piper xylosteoides,Piper xylosteoides
"Marcusso, GM",1,0.49601208795674395,Peperomia uaupesensis,Peperomia uaupesensis
"Guimarães, EF",1,0.5517673859512532,Piper arboreum,Piper arboreum
"Carvalho-Silva, M",1,0.666115846748424,Piper tectoniifolium,Piper tectoniifolium
M. Carvalho-Silva,1,0.6422100011643508,Peperomia blanda,Peperomia blanda
"Machado-Silva, T.",1,0.9177790424296651,Peperomia psilostachya,Peperomia psilostachya
"Callejas, R",1,0.3774320048619951,Peperomia loxensis,Peperomia loxensis
"Guimarães, EF",0,0.5517673859512532,Peperomia pereskiaefolia,Peperomia pereskiifolia
George Azevedo de Queiroz,1,0.45585887617132365,Piper hoffmannseggianum,Piper hoffmannseggianum
"Guimarães, EF",0,0.5517673859512532,Piper,Piper lucaeanum
M. Carvalho-Silva,1,0.6422100011643508,Piper crassinervium,Piper crassinervium
R. Callejas Posada,0,0.34733634486387627,Piper corcovadensis,Piper corcovadensis blanchetii
