identifiedby_att,correto?,probabilidade_corretude,nome_real,scientificname
R. Callejas Posada,1,0.3481570883814911,Peperomia macrostachya,Peperomia macrostachya
"Callejas, R",0,0.3765992969677145,Piper,Piper curtistilum
"Guimarães, EF",1,0.5514097200479395,Peperomia elongata,Peperomia elongata
"Callejas, R",0,0.3765992969677145,Piper,Piper asterotrichum
"Guimarães, EF",0,0.5514097200479395,Piper,Piper goesii
"Guimarães, EF",0,0.5514097200479395,Piper amalago,Piper amalago medium
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia nitida,Peperomia nitida
T. G. Yuncker,1,0.3560215930235693,Peperomia galioides,Peperomia galioides
"Guimarães, EF",1,0.5514097200479395,Peperomia alata,Peperomia alata
"Machado-Silva, T.",1,0.9143551340758224,Peperomia delicatula,Peperomia delicatula
R. Callejas Posada,0,0.3481570883814911,Piper arboreum,Piper arboreum latifolium
George Azevedo de Queiroz,1,0.45407715773045076,Piper cernuum,Piper cernuum
"Guimarães, EF",1,0.5514097200479395,Piper marginatum,Piper marginatum
"Carvalho-Silva, M",1,0.6647044240526462,Piper arboreum,Piper arboreum
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia galioides,Peperomia galioides
"Guimarães, EF",1,0.5514097200479395,Piper macedoi,Piper macedoi
"Guimarães, EF",1,0.5514097200479395,Piper solmsianum,Piper solmsianum
M. Carvalho-Silva,1,0.6398998245225979,Peperomia blanda,Peperomia blanda
M. Carvalho-Silva,1,0.6398998245225979,Piper regnellii,Piper regnellii
"Callejas, R",1,0.3765992969677145,Peperomia glabella,Peperomia glabella
R. Callejas Posada,0,0.3481570883814911,Piper,Piper substilosum
"Guimarães, EF",1,0.5514097200479395,Piper amalago,Piper amalago
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia tetraphylla,Peperomia tetraphylla
D. Monteiro,0,0.6345303638176161,Piper,Piper chimonanthifolium
R. Callejas Posada,0,0.3481570883814911,Piper,Piper gigantifolium
"Machado-Silva, T.",1,0.9143551340758224,Peperomia blanda,Peperomia blanda
M. Carvalho-Silva,1,0.6398998245225979,Peperomia corcovadensis,Peperomia corcovadensis
"Callejas, R",0,0.3765992969677145,Piper,Piper pilirameum
"Guimarães, EF",1,0.5514097200479395,Piper anisum,Piper anisum
M. Carvalho-Silva,1,0.6398998245225979,Piper aduncum,Piper aduncum
"Guimarães, EF",1,0.5514097200479395,Peperomia urocarpa,Peperomia urocarpa
"Callejas, R",1,0.3765992969677145,Piper aduncum,Piper aduncum
R. Callejas Posada,1,0.3481570883814911,Piper mollicomum,Piper mollicomum
T. G. Yuncker,1,0.3560215930235693,Piper lhotzkyanum,Piper lhotzkyanum
